func_100011_g,getIsPotionDurationMax
func_130077_b,getPackName
func_130098_m,hasAnimationMetadata
func_130099_d,allocateFrameTextureData
func_130102_n,resetSprite
func_130103_l,clearFramesTextureData
func_130105_g,getMinecraftStartTimeMillis
func_135016_M,getLanguageManager
func_135018_a,getLanguages
func_135021_a,loadLocaleData
func_135022_a,loadLocaleDataFiles
func_135023_a,formatMessage
func_135024_b,checkUnicode
func_135025_a,isUnicode
func_135026_c,translateKeyPrivate
func_135028_a,loadLocaleData
func_135034_a,getLanguageCode
func_135035_b,isBidirectional
func_135040_d,getLanguages
func_135041_c,getCurrentLanguage
func_135042_a,isCurrentLocaleUnicode
func_135043_a,parseLanguageMetadata
func_135044_b,isCurrentLanguageBidirectional
func_135045_a,setCurrentLanguage
func_135051_a,setLocale
func_135052_a,format
func_135055_a,getResourceDomains
func_135056_b,getAllResources
func_135058_a,getPackMetadata
func_135063_a,replaceWith
func_135064_c,tryTranslateKey
func_135074_t,clearCustomName
func_140005_i,switchToRealms
func_142008_O,shouldSetPosAfterLoading
func_142013_aG,getLastAttackedEntityTime
func_142015_aE,getRevengeTimer
func_142017_o,onLeashDistance
func_142018_a,shouldAttackEntity
func_142021_k,getServerBrand
func_142049_d,removeAllModifiers
func_142053_d,formatString
func_142054_a,isSameTeam
func_143004_u,markPlayerActive
func_143006_e,setPlayerIdleTimeout
func_143007_ar,getMaxPlayerIdleMinutes
func_143009_a,readStructureBaseNBT
func_143010_b,createStructureBaseNBT
func_143011_b,readStructureFromNBT
func_143012_a,writeStructureToNBT
func_143016_a,registerVillagePieces
func_143017_b,readFromNBT
func_143018_f,getChunkPosZ
func_143019_e,getChunkPosX
func_143020_a,readStructureComponentsFromNBT
func_143021_a,writeStructureComponentsToNBT
func_143022_a,writeToNBT
func_143025_a,getStructureName
func_143026_a,setStructureStart
func_143027_a,initializeStructureData
func_143031_a,registerStructureComponent
func_143032_b,getStructureComponent
func_143033_a,getStructureStartName
func_143034_b,registerStructure
func_143035_a,getStructureStart
func_143036_a,getStructureComponentName
func_143041_a,getTagCompound
func_143042_b,formatChunkCoords
func_143043_a,writeInstance
func_143045_a,registerScatteredFeaturePieces
func_143046_a,registerStrongholdPieces
func_143048_a,registerStructurePieces
func_143049_a,registerNetherFortressPieces
func_145747_a,sendMessage
func_145748_c_,getDisplayName
func_145749_h,getLastOutput
func_145750_b,setLastOutput
func_145751_f,getCommandBlockType
func_145752_a,setCommand
func_145753_i,getCommand
func_145754_b,setName
func_145755_a,trigger
func_145756_e,updateCommand
func_145757_a,fillInInfo
func_145759_b,readDataFromNBT
func_145760_g,getSuccessCount
func_145769_d,setEntityId
func_145770_h,isInRangeToRender3d
func_145771_j,pushOutOfBlocks
func_145773_az,doesEntityNotTriggerPressurePlate
func_145775_I,doBlockCollisions
func_145778_a,dropItemWithOffset
func_145779_a,dropItem
func_145782_y,getEntityId
func_145797_a,setOwner
func_145798_i,getOwner
func_145799_b,setThrower
func_145800_j,getThrower
func_145806_a,setHurtEntities
func_145807_e,getWorldObj
func_145818_k_,hasCustomName
func_145822_e,getCommandBlockLogic
func_145828_a,addInfoToCrashReport
func_145829_t,validate
func_145830_o,hasWorld
func_145831_w,getWorld
func_145832_p,getBlockMetadata
func_145833_n,getMaxRenderDistanceSquared
func_145834_a,setWorld
func_145835_a,getDistanceSq
func_145836_u,updateContainingBlockInfo
func_145837_r,isInvalid
func_145838_q,getBlockType
func_145839_a,readFromNBT
func_145842_c,receiveClientEvent
func_145843_s,invalidate
func_145856_a,getRecord
func_145857_a,setRecord
func_145860_a,getProgress
func_145866_f,clearPistonTileEntity
func_145867_d,shouldPistonHeadBeRendered
func_145868_b,isExtending
func_145877_a,changePitch
func_145881_a,getSpawnerBaseLogic
func_145883_k,transferItemsOut
func_145884_b,getSourceInventory
func_145887_i,updateHopper
func_145888_j,isOnTransferCooldown
func_145891_a,pullItems
func_145893_b,getInventoryAtPosition
func_145894_a,canCombine
func_145895_l,getInventoryForHopperTransfer
func_145896_c,setTransferCooldown
func_145898_a,putDropInInventoryAllSlots
func_145903_a,setSkullRotation
func_145904_a,getSkullType
func_145906_b,getSkullRotation
func_145911_b,getPlayer
func_145912_a,setPlayer
func_145913_a,setEditable
func_145914_a,getIsEditable
func_145920_a,setCustomName
func_145934_k,canBrew
func_145937_a,setName
func_145940_l,brewPotions
func_145948_k,canSmelt
func_145949_j,smeltItem
func_145950_i,isBurning
func_145951_a,setCustomInventoryName
func_145952_a,getItemBurnTime
func_145954_b,isItemFuel
func_145965_a,getFlowerPotItem
func_145966_b,getFlowerPotData
func_145969_a,openChest
func_145970_b,closeChest
func_145971_a,canBeUsed
func_145979_i,checkForAdjacentChests
func_145980_j,getChestType
func_145993_a,getCommandBlockLogic
func_145995_a,setOutputSignal
func_145996_a,getOutputSignal
func_145999_a,setName
func_146000_x,addEffectsToPlayers
func_146002_i,shouldBeamRender
func_146003_y,updateSegmentColors
func_146017_i,getDispenseSlot
func_146019_a,addItemStack
func_146031_a,setChestTileEntity
func_146034_e,handleHookRetraction
func_146065_b,dropItemOrSelf
func_146066_aG,canDropLoot
func_146068_u,getDropItem
func_146069_a,multiplySize
func_146070_a,setBreakDoorsAItask
func_146071_k,setChildSize
func_146072_bX,isBreakDoorsTaskSet
func_146077_cc,explode
func_146078_ca,hasIgnited
func_146079_cb,ignite
func_146082_f,setInLove
func_146086_d,setHorseArmorStack
func_146094_a,getUUID
func_146097_a,dropItem
func_146103_bH,getGameProfile
func_146105_b,sendStatusMessage
func_146107_m,getStatFileWriter
func_146110_a,drawModalRectWithCustomSizedTexture
func_146111_b,drawButtonForegroundLayer
func_146113_a,playPressSound
func_146114_a,getHoverState
func_146115_a,isMouseOver
func_146116_c,mousePressed
func_146117_b,getButtonWidth
func_146118_a,mouseReleased
func_146119_b,mouseDragged
func_146136_c,getOption
func_146140_b,setSelected
func_146141_c,isSelected
func_146158_b,getChatGUI
func_146159_a,drawLabel
func_146160_b,drawLabelBackground
func_146175_b,deleteFromCursor
func_146176_q,getVisible
func_146177_a,deleteWords
func_146178_a,updateCursorCounter
func_146179_b,getText
func_146180_a,setText
func_146181_i,getEnableBackgroundDrawing
func_146182_d,moveCursorBy
func_146183_a,getNthWordFromPos
func_146184_c,setEnabled
func_146185_a,setEnableBackgroundDrawing
func_146186_n,getSelectionEnd
func_146187_c,getNthWordFromCursor
func_146188_c,drawSelectionBox
func_146189_e,setVisible
func_146190_e,setCursorPosition
func_146191_b,writeText
func_146192_a,mouseClicked
func_146193_g,setTextColor
func_146194_f,drawTextBox
func_146195_b,setFocused
func_146196_d,setCursorPositionZero
func_146197_a,getNthWordFromPosWS
func_146198_h,getCursorPosition
func_146199_i,setSelectionPos
func_146200_o,getWidth
func_146201_a,textboxKeyTyped
func_146202_e,setCursorPositionEnd
func_146203_f,setMaxStringLength
func_146204_h,setDisabledTextColour
func_146205_d,setCanLoseFocus
func_146206_l,isFocused
func_146207_c,getSelectedText
func_146208_g,getMaxStringLength
func_146227_a,printChatMessage
func_146228_f,getChatWidth
func_146229_b,scroll
func_146230_a,drawChat
func_146231_a,clearChatMessages
func_146232_i,getLineCount
func_146233_a,calculateChatboxWidth
func_146234_a,printChatMessageWithOptionalDeletion
func_146236_a,getChatComponent
func_146237_a,setChatLine
func_146238_c,getSentMessages
func_146239_a,addToSentMessages
func_146240_d,resetScroll
func_146241_e,getChatOpen
func_146242_c,deleteChatLine
func_146243_b,calculateChatboxHeight
func_146244_h,getChatScale
func_146245_b,refreshChat
func_146246_g,getChatHeight
func_146269_k,handleInput
func_146270_b,drawWorldBackground
func_146271_m,isCtrlKeyDown
func_146272_n,isShiftKeyDown
func_146273_a,mouseClickMove
func_146274_d,handleMouseInput
func_146275_d,setClipboardString
func_146276_q_,drawDefaultBackground
func_146277_j,getClipboardString
func_146278_c,drawBackground
func_146279_a,drawHoveringText
func_146280_a,setWorldAndResolution
func_146281_b,onGuiClosed
func_146282_l,handleKeyboardInput
func_146283_a,drawHoveringText
func_146284_a,actionPerformed
func_146285_a,renderToolTip
func_146286_b,mouseReleased
func_146314_g,calcSaveDirName
func_146315_i,toggleMoreWorldOptions
func_146316_a,showMoreWorldOptions
func_146317_a,getUncollidingSaveDirName
func_146318_a,recreateFromExistingWorld
func_146319_h,updateDisplayState
func_146350_a,setButtonDelay
func_146358_g,disableSecurityWarning
func_146359_e,copyLinkToClipboard
func_146367_a,connect
func_146375_g,onLayersChanged
func_146382_i,hasSelectedLayer
func_146383_a,setPreset
func_146384_e,getPreset
func_146402_a,getSentHistory
func_146418_g,wakeFromSleep
func_146421_a,registerPreset
func_146426_g,updateButtonValidity
func_146430_p,hasValidSelection
func_146456_p,pageGetCurrent
func_146457_a,pageSetCurrent
func_146459_b,pageInsertIntoCurrent
func_146460_c,keyTypedInTitle
func_146461_i,addNewPage
func_146462_a,sendBookToServer
func_146463_b,keyTypedInBook
func_146464_h,updateButtons
func_146521_a,drawStatsScreen
func_146527_c,drawSprite
func_146531_b,drawButtonBackground
func_146574_g,sendRespawnPacket
func_146575_b,drawWinGameScreen
func_146586_a,setDoneWorking
func_146595_g,updateDisplayNames
func_146789_i,getOldServerPinger
func_146790_a,selectServer
func_146791_a,connectToServer
func_146792_q,refreshServerList
func_146793_a,setHoveringText
func_146794_g,createButtons
func_146795_p,getServerList
func_146796_h,connectToSelected
func_146961_a,hasResourcePackEntry
func_146962_b,getListContaining
func_146963_h,getSelectedResourcePacks
func_146964_g,getAvailableResourcePacks
func_146975_c,getSlotAtPosition
func_146976_a,drawGuiContainerBackgroundLayer
func_146977_a,drawSlot
func_146978_c,isPointInRegion
func_146979_b,drawGuiContainerForegroundLayer
func_146980_g,updateDragSplitting
func_146981_a,isMouseOverSlot
func_146982_a,drawItemStack
func_146983_a,checkHotbarKeys
func_147035_g,getMerchant
func_147044_g,drawActivePotionEffects
func_147046_a,drawEntityOnScreen
func_147049_a,isMouseOverTab
func_147050_b,setCurrentCreativeTab
func_147051_a,drawTab
func_147052_b,renderCreativeInventoryHoveringText
func_147053_i,updateCreativeSearch
func_147055_p,needsScrollBars
func_147056_g,getSelectedTabIndex
func_147068_g,tickBook
func_147090_g,renameItem
func_147096_v,getChatVisibility
func_147097_b,sendTileEntityUpdate
func_147099_x,getStatFile
func_147100_a,handleClientSettings
func_147104_D,getCurrentServerData
func_147107_h,isFramerateLimitBelowMax
func_147108_a,displayGuiScreen
func_147109_W,getAmbientMusicType
func_147110_a,getFramebuffer
func_147111_S,isJava64bit
func_147112_ai,middleClickMouse
func_147113_T,isGamePaused
func_147114_u,getConnection
func_147115_a,sendClickBlockToController
func_147116_af,clickMouse
func_147117_R,getTextureMapBlocks
func_147118_V,getSoundHandler
func_147119_ah,updateFramebufferSize
func_147121_ag,rightClickMouse
func_147122_X,isJvm64bit
func_147130_as,getMinecraftSessionService
func_147132_au,refreshStatusNextTick
func_147133_T,getResourcePackUrl
func_147134_at,getServerStatusResponse
func_147135_j,getDifficulty
func_147137_ag,getNetworkSystem
func_147139_a,setDifficultyForAllWorlds
func_147149_a,saveToFile
func_147152_a,getStackTrace
func_147176_a,getChatComponentFromNthArg
func_147178_a,getChatComponentFromNthArg
func_147179_f,getItemByText
func_147180_g,getBlockByText
func_147203_d,getWittyComment
func_147223_a,pingPendingNetworks
func_147224_a,ping
func_147225_b,tryCompatibilityPing
func_147226_b,clearPendingNetworks
func_147231_a,onDisconnect
func_147234_a,handleBlockChange
func_147235_a,handleSpawnObject
func_147236_a,handleEntityStatus
func_147237_a,handleSpawnPlayer
func_147238_a,handleDestroyEntities
func_147239_a,handleConfirmTransaction
func_147240_a,handleCustomPayload
func_147241_a,handleWindowItems
func_147242_a,handleEntityEquipment
func_147243_a,handleEntityAttach
func_147244_a,handleEntityVelocity
func_147245_a,handleWindowProperty
func_147246_a,handleCollectItem
func_147247_a,handleTeams
func_147249_a,handleUpdateHealth
func_147250_a,handleUpdateScore
func_147251_a,handleChat
func_147252_a,handleChangeGameState
func_147253_a,handleDisconnect
func_147254_a,handleDisplayObjective
func_147256_a,handlePlayerListItem
func_147257_a,handleHeldItemChange
func_147259_a,handleEntityMovement
func_147260_a,handleEntityEffect
func_147261_a,handleBlockAction
func_147262_a,handleRemoveEntityEffect
func_147263_a,handleChunkData
func_147264_a,handleMaps
func_147265_a,handleOpenWindow
func_147266_a,handleSetSlot
func_147267_a,handleEntityHeadLook
func_147268_a,handleSignEditorOpen
func_147270_a,handlePlayerAbilities
func_147271_a,handleSpawnPosition
func_147272_a,handleKeepAlive
func_147273_a,handleUpdateTileEntity
func_147274_a,handleTabComplete
func_147275_a,handleEntityTeleport
func_147276_a,handleCloseWindow
func_147277_a,handleEffect
func_147278_a,handleUseBed
func_147279_a,handleAnimation
func_147280_a,handleRespawn
func_147281_a,handleSpawnMob
func_147282_a,handleJoinGame
func_147283_a,handleExplosion
func_147284_a,handleEntityMetadata
func_147285_a,handleTimeUpdate
func_147286_a,handleSpawnExperienceOrb
func_147287_a,handleMultiBlockChange
func_147288_a,handleSpawnPainting
func_147289_a,handleParticles
func_147290_a,handleEntityProperties
func_147291_a,handleScoreboardObjective
func_147292_a,handleSpawnGlobalEntity
func_147293_a,handleStatistics
func_147294_a,handleBlockBreakAnim
func_147295_a,handleSetExperience
func_147296_c,cleanup
func_147297_a,sendPacket
func_147298_b,getNetworkManager
func_147311_a,processPing
func_147312_a,processServerQuery
func_147315_a,processEncryptionResponse
func_147316_a,processLoginStart
func_147317_d,getConnectionInfo
func_147326_c,tryAcceptPlayer
func_147338_a,processEnchantItem
func_147339_a,processConfirmTransaction
func_147340_a,processUseEntity
func_147341_a,processTabComplete
func_147342_a,processClientStatus
func_147343_a,processUpdateSign
func_147344_a,processCreativeInventoryAction
func_147345_a,processPlayerDigging
func_147346_a,processTryUseItem
func_147347_a,processPlayer
func_147348_a,processPlayerAbilities
func_147349_a,processCustomPayload
func_147351_a,processClickWindow
func_147352_a,processClientSettings
func_147353_a,processKeepAlive
func_147354_a,processChatMessage
func_147355_a,processHeldItemChange
func_147356_a,processCloseWindow
func_147357_a,processEntityAction
func_147358_a,processInput
func_147359_a,sendPacket
func_147361_d,handleSlashCommand
func_147362_b,getNetworkManager
func_147363_d,currentTimeMillis
func_147364_a,setPlayerLocation
func_147383_a,processHandshake
func_147388_a,handleDisconnect
func_147389_a,handleEncryptionRequest
func_147390_a,handleLoginSuccess
func_147391_c,getSessionService
func_147397_a,handleServerInfo
func_147398_a,handlePong
func_147407_a,setBase64EncodedIconData
func_147409_e,getBase64EncodedIconData
func_147413_a,set
func_147414_b,saveSingleServer
func_147442_i,setThunderStrength
func_147447_a,rayTraceBlocks
func_147448_a,addTileEntities
func_147456_g,updateBlocks
func_147457_a,markTileEntityForRemoval
func_147458_c,markBlockRangeForRenderUpdate
func_147467_a,playMoodSoundAndCheckLight
func_147470_e,isFlammableWithin
func_147485_a,fireBlockEvent
func_147488_Z,sendQueuedBlockEvents
func_147497_a,setRendererDispatcher
func_147498_b,getFontRenderer
func_147499_a,bindTexture
func_147517_a,renderMob
func_147525_a,getBuffer
func_147543_a,setWorld
func_147546_a,getRenderer
func_147547_b,getRenderer
func_147548_a,getFontRenderer
func_147549_a,render
func_147585_a,markBlockRangeForRenderUpdate
func_147604_a,setFramebufferColor
func_147605_b,createFramebuffer
func_147606_d,unbindFramebufferTexture
func_147607_a,setFramebufferFilter
func_147608_a,deleteFramebuffer
func_147609_e,unbindFramebuffer
func_147610_a,bindFramebuffer
func_147611_b,checkFramebufferComplete
func_147612_c,bindFramebufferTexture
func_147613_a,createBindFramebuffer
func_147614_f,framebufferClear
func_147615_c,framebufferRender
func_147631_c,deleteGlTexture
func_147633_a,setMipmapLevels
func_147640_e,checkTextureUploaded
func_147641_a,setBufferedImage
func_147645_c,deleteTexture
func_147647_b,bidiReorder
func_147649_g,getXPosF
func_147650_b,getSoundLocation
func_147651_i,getZPosF
func_147652_d,getRepeatDelay
func_147653_e,getVolume
func_147654_h,getYPosF
func_147655_f,getPitch
func_147656_j,getAttenuationType
func_147657_c,canRepeat
func_147667_k,isDonePlaying
func_147681_a,playDelayedSound
func_147682_a,playSound
func_147683_b,stopSound
func_147685_d,unloadSounds
func_147687_e,resumeSounds
func_147689_b,pauseSounds
func_147690_c,stopSounds
func_147691_a,setListener
func_147692_c,isSoundPlaying
func_147693_a,loadSoundResource
func_147701_i,getMapItemRenderer
func_147702_a,isShaderActive
func_147704_a,updateShaderGroupSize
func_147706_e,getShaderGroup
func_147778_a,getAoBrightness
func_147906_a,renderLivingLabel
func_147942_a,deleteTexture
func_147943_a,blendColors
func_147944_a,blendColorComponent
func_147947_a,uploadTextureSub
func_147949_a,generateMipmapData
func_147951_b,setTextureBlurred
func_147953_a,processPixelValues
func_147954_b,setTextureBlurMipmap
func_147955_a,uploadTextureMipmap
func_147962_a,getFrameTextureData
func_147963_d,generateMipmaps
func_147965_a,getFrameTextureData
func_147969_b,getMipmapDimension
func_147984_b,getShaderUniformOrDefault
func_147985_d,markDirty
func_147986_h,getProgram
func_147987_b,parseUniform
func_147988_a,deleteShader
func_147989_e,getVertexShaderLoader
func_147990_i,setupUniforms
func_147991_a,getShaderUniform
func_147992_a,addSamplerTexture
func_147993_b,endShader
func_147994_f,getFragmentShaderLoader
func_147995_c,useShader
func_147996_a,parseSampler
func_148017_a,getFramebuffer
func_148018_a,render
func_148020_a,addFramebuffer
func_148021_a,deleteShaderGroup
func_148022_b,getShaderGroupName
func_148023_a,addShader
func_148024_c,resetProjectionMatrix
func_148026_a,createBindFramebuffers
func_148027_a,initTarget
func_148028_c,initUniform
func_148040_d,preRender
func_148041_a,addAuxFramebuffer
func_148042_a,render
func_148043_c,getShaderManager
func_148044_b,deleteShader
func_148045_a,setProjectionMatrix
func_148054_b,deleteShader
func_148055_a,getShaderFilename
func_148056_a,attachShader
func_148057_a,loadShader
func_148062_a,getShaderName
func_148063_b,getShaderExtension
func_148064_d,getLoadedShaders
func_148065_c,getShaderMode
func_148074_b,getStaticShaderLinkHelper
func_148075_b,linkProgram
func_148076_a,setNewStaticShaderLinkHelper
func_148077_a,deleteShader
func_148078_c,createProgram
func_148081_a,set
func_148082_k,uploadFloatMatrix
func_148083_a,set
func_148084_b,setUniformLocation
func_148085_a,parseType
func_148086_a,getShaderName
func_148087_a,set
func_148088_a,set
func_148089_j,uploadFloat
func_148090_a,set
func_148091_i,uploadInt
func_148092_b,setSafe
func_148093_b,upload
func_148094_a,set
func_148095_a,set
func_148096_h,markDirty
func_148097_a,set
func_148107_b,stringToBlendFactor
func_148108_a,stringToBlendFunction
func_148109_a,apply
func_148110_a,parseBlendNode
func_148111_b,isOpaque
func_148121_k,bindAmountScrolled
func_148122_a,setDimensions
func_148123_a,drawBackground
func_148124_c,getSlotIndexFromScreenCoords
func_148125_i,getEnabled
func_148127_b,getSize
func_148128_a,drawScreen
func_148129_a,drawListHeader
func_148131_a,isSelected
func_148132_a,clickedHeader
func_148133_a,setHasListHeader
func_148134_d,registerScrollButtons
