searge, name
field_110447_Z, launchedVersion
field_110448_aq, resourcePackRepository
field_110449_ao, defaultResourcePacks
field_110450_ap, defaultResourcePack
field_110451_am, resourceManager
field_110452_an, metadataSerializer
field_110453_aa, proxy
field_110456_c, serverProxy
field_110463_b, packFormat
field_110464_a, packDescription
field_110465_b, charLefts
field_110466_c, charSpacings
field_110467_a, charWidths
field_110475_d, frameTime
field_110476_b, frameWidth
field_110477_c, frameHeight
field_110478_a, animationFrames
field_110481_b, textureClamp
field_110482_a, textureBlur
field_110498_b, frameTime
field_110499_a, frameIndex
field_110500_b, clazz
field_110502_a, section
field_110506_b, gsonBuilder
field_110507_c, gson
field_110508_a, metadataSectionSerializerRegistry
field_110520_f, locationTexturePackIcon
field_110521_d, rePackMetadataSection
field_110524_c, reResourcePack
field_110529_f, mcmetaJsonChecked
field_110530_g, mcmetaJson
field_110531_d, mcmetaInputStream
field_110532_e, srMetadataSerializer
field_110533_b, srResourceLocation
field_110534_c, resourceInputStream
field_110535_a, mapMetadataSections
field_110539_b, frmMetadataSerializer
field_110540_a, resourcePacks
field_110546_b, reloadListeners
field_110547_c, rmMetadataSerializer
field_110548_a, domainResourceManagers
field_110553_a, glTextureId
field_110559_g, textureUploaded
field_110560_d, bufferedImage
field_110561_e, imageThread
field_110562_b, imageUrl
field_110563_c, imageBuffer
field_110566_b, dynamicTextureData
field_110567_b, layeredTextureNames
field_110568_b, textureLocation
field_110574_e, mapRegisteredSprites
field_110575_b, LOCATION_BLOCKS_TEXTURE
field_110582_d, resourceManager
field_110583_b, listTickables
field_110584_c, mapTextureCounters
field_110585_a, mapTextureObjects
field_110597_b, resourcePackFile
field_110598_a, LOGGER
field_110600_d, resourcePackZipFile
field_110601_c, ENTRY_NAME_SPLITTER
field_110608_a, DEFAULT_RESOURCE_DOMAINS
field_110617_f, repositoryEntries
field_110618_d, dirResourcepacks
field_110619_e, repositoryEntriesAll
field_110620_b, rprDefaultResourcePack
field_110621_c, rprMetadataSerializer
field_110622_a, RESOURCE_PACK_FILTER
field_110625_b, path
field_110626_a, namespace
field_110684_D, frontRightLeg
field_110685_E, frontRightShin
field_110686_F, frontRightHoof
field_110687_G, muleLeftChest
field_110688_A, frontLeftLeg
field_110689_B, frontLeftShin
field_110690_C, frontLeftHoof
field_110691_L, horseLeftSaddleRope
field_110692_M, horseLeftSaddleMetal
field_110693_N, horseRightSaddleRope
field_110694_O, horseRightSaddleMetal
field_110695_H, muleRightChest
field_110696_I, horseSaddleBottom
field_110697_J, horseSaddleFront
field_110698_K, horseSaddleBack
field_110699_Q, horseRightFaceMetal
field_110700_P, horseLeftFaceMetal
field_110701_S, horseRightRein
field_110702_R, horseLeftRein
field_110703_f, muleLeftEar
field_110704_g, muleRightEar
field_110705_d, horseLeftEar
field_110706_e, horseRightEar
field_110709_a, head
field_110710_n, tailTip
field_110711_o, backLeftLeg
field_110712_l, tailBase
field_110713_m, tailMiddle
field_110714_j, mane
field_110715_k, body
field_110716_h, neck
field_110717_i, horseFaceRopes
field_110718_w, backLeftHoof
field_110719_v, backLeftShin
field_110720_z, backRightHoof
field_110721_y, backRightShin
field_110722_x, backRightLeg
field_110723_a, knotRenderer
field_110737_b, PARTICLE_TEXTURES
field_110778_a, SHADOW_TEXTURES
field_110782_f, BOAT_TEXTURES
field_110785_a, EXPERIENCE_ORB_TEXTURES
field_110787_a, ENDER_CRYSTAL_TEXTURES
field_110789_a, MAP_BACKGROUND_TEXTURES
field_110792_a, FISH_PARTICLES
field_110798_h, RES_ITEM_GLINT
field_110801_f, leashKnotModel
field_110802_a, LEASH_KNOT_TEXTURES
field_110804_g, MINECART_TEXTURES
field_110807_a, KRISTOFFER_PAINTING_TEXTURE
field_110810_f, WITHER_TEXTURES
field_110811_a, INVULNERABLE_WITHER_TEXTURES
field_110830_f, CREEPER_TEXTURES
field_110833_a, COW_TEXTURES
field_110835_a, BAT_TEXTURES
field_110837_a, BLAZE_TEXTURES
field_110839_f, ENDERMAN_TEXTURES
field_110842_f, DRAGON_EXPLODING_TEXTURES
field_110843_g, ENDERCRYSTAL_BEAM_TEXTURES
field_110844_k, DRAGON_TEXTURES
field_110852_a, LAYERED_LOCATION_CACHE
field_110861_l, WITHER_SKELETON_TEXTURES
field_110862_k, SKELETON_TEXTURES
field_110864_q, ZOMBIE_VILLAGER_TEXTURES
field_110865_p, ZOMBIE_TEXTURES
field_110868_f, GHAST_SHOOTING_TEXTURES
field_110869_a, GHAST_TEXTURES
field_110871_a, ZOMBIE_TEXTURES
field_110873_a, MAGMA_CUBE_TEXTURES
field_110875_f, OCELOT_TEXTURES
field_110876_g, RED_OCELOT_TEXTURES
field_110877_a, BLACK_OCELOT_TEXTURES
field_110878_h, SIAMESE_OCELOT_TEXTURES
field_110880_a, MOOSHROOM_TEXTURES
field_110882_a, SILVERFISH_TEXTURES
field_110884_f, SHEARED_SHEEP_TEXTURES
field_110887_f, PIG_TEXTURES
field_110890_f, SPIDER_TEXTURES
field_110893_a, CAVE_SPIDER_TEXTURES
field_110895_a, SNOW_MAN_TEXTURES
field_110897_a, SLIME_TEXTURES
field_110899_a, IRON_GOLEM_TEXTURES
field_110901_a, SQUID_TEXTURES
field_110903_f, VILLAGER_TEXTURES
field_110904_g, FARMER_VILLAGER_TEXTURES
field_110905_l, SMITH_VILLAGER_TEXTURES
field_110906_m, BUTCHER_VILLAGER_TEXTURES
field_110907_k, PRIEST_VILLAGER_TEXTURES
field_110908_h, LIBRARIAN_VILLAGER_TEXTURES
field_110910_a, WITCH_TEXTURES
field_110912_f, WITHER_TEXTURES
field_110913_a, INVULNERABLE_WITHER_TEXTURES
field_110915_f, TAMED_WOLF_TEXTURES
field_110916_g, ANRGY_WOLF_TEXTURES
field_110917_a, WOLF_TEXTURES
field_110920_a, CHICKEN_TEXTURES
field_110922_T, locationLightMap
field_110923_r, SNOW_TEXTURES
field_110924_q, RAIN_TEXTURES
field_110925_j, CLOUDS_TEXTURES
field_110926_k, END_SKY_TEXTURES
field_110927_h, MOON_PHASES_TEXTURES
field_110928_i, SUN_TEXTURES
field_110929_d, RES_UNDERWATER_OVERLAY
field_110931_c, RES_MAP_BACKGROUND
field_110973_g, frameCounter
field_110974_d, originY
field_110975_c, originX
field_110976_a, framesTextureData
field_110977_n, minV
field_110978_o, maxV
field_110979_l, minU
field_110980_m, maxU
field_110982_k, animationMetadata
field_110983_h, tickCounter
field_110984_i, iconName
field_110999_b, MISSING_TEXTURE_DATA
field_111000_c, DATA_BUFFER
field_111001_a, MISSING_TEXTURE
field_111020_b, chest
field_111021_b, chest
field_111053_a, NUMERIC_VARIABLE_PATTERN
field_111100_b, z
field_111101_a, x
field_111113_b, defaultValue
field_111114_c, shouldWatch
field_111115_a, translationKey
field_111118_b, maximumValue
field_111119_c, description
field_111120_a, minimumValue
field_111132_f, baseValue
field_111133_g, needsUpdate
field_111134_d, mapByName
field_111135_e, mapByUUID
field_111136_b, genericAttribute
field_111137_c, mapByOperation
field_111138_a, attributeMap
field_111139_h, cachedValue
field_111153_b, attributesByName
field_111154_a, attributes
field_111162_d, dirtyInstances
field_111163_c, instancesByName
field_111170_d, id
field_111171_e, isSaved
field_111172_b, operation
field_111173_c, name
field_111174_a, amount
field_111176_d, targetY
field_111177_e, targetZ
field_111178_b, speed
field_111179_c, targetX
field_111180_a, horseHost
field_111188_I, attributeModifierMap
field_111192_g, previousTotalWorldTime
field_111193_e, entries
field_111202_k, divideByTen
field_111203_a, MOON_PHASE_FACTORS
field_111204_q, inhabitedTime
field_111210_e, ATTACK_DAMAGE_MODIFIER
field_111230_s, enchantmentTypes
field_111242_f, horse
field_111243_a, horseInventory
field_111263_d, MOVEMENT_SPEED
field_111264_e, ATTACK_DAMAGE
field_111265_b, FOLLOW_RANGE
field_111266_c, KNOCKBACK_RESISTANCE
field_111267_a, MAX_HEALTH
field_111273_g, locationFontTexture
field_111274_c, UNICODE_PAGE_LOCATIONS
field_111284_a, DECIMALFORMAT
field_120014_b, ticks
field_120015_a, server
field_120021_b, server
field_120036_d, msgs
field_120037_e, server
field_120038_b, values
field_120039_c, vp
field_120040_a, FORMATTER
field_130068_bO, lastHealthScore
field_130070_K, fileResourcepacks
field_130074_a, JOINER_RESOURCE_PACKS
field_130078_a, LOC_GRASS_PNG
field_130079_a, LOC_FOLIAGE_PNG
field_130222_e, rotated
field_130223_c, width
field_130224_d, height
field_135017_as, languageManager
field_135019_a, languages
field_135029_d, unicode
field_135030_b, SPLITTER
field_135031_c, PATTERN
field_135032_a, properties
field_135036_d, bidirectional
field_135037_b, region
field_135038_c, name
field_135039_a, languageCode
field_135046_d, languageMap
field_135047_b, metadataSerializer
field_135048_c, currentLanguage
field_135049_a, CURRENT_LOCALE
field_135054_a, i18nLocale
field_135057_d, setResourceDomains
field_135065_b, EQUAL_SIGN_SPLITTER
field_142016_bo, lastAttackedEntityTime
field_142022_ce, serverBrand
field_142025_a, IS_RUNNING_ON_MAC
field_142048_a, isChild
field_142050_e, timestamp
field_142051_e, timestamp
field_142052_b, revengeTimerOld
field_143005_bX, playerLastActiveTime
field_143008_E, maxPlayerIdleMinutes
field_143013_d, entryDoor
field_143015_k, averageGroundLvl
field_143023_d, chunkPosZ
field_143024_c, chunkPosX
field_143029_e, structureData
field_143037_d, componentClassToNameMap
field_143038_b, startClassToNameMap
field_143039_c, componentNameToClassMap
field_143040_a, startNameToClassMap
field_143044_a, tagCompound
field_145761_f, customName
field_145762_d, lastOutput
field_145763_e, commandStored
field_145764_b, successCount
field_145765_c, trackOutput
field_145766_a, TIMESTAMP_FORMAT
field_145783_c, entityId
field_145786_d, yTile
field_145787_e, zTile
field_145788_c, xTile
field_145789_f, zTile
field_145790_g, inTile
field_145791_d, xTile
field_145792_e, yTile
field_145801_f, thrower
field_145802_g, owner
field_145803_d, LOGGER
field_145804_b, pickupDelay
field_145808_f, dontSetBlock
field_145809_g, hurtEntities
field_145810_d, tileEntityData
field_145812_b, fallTime
field_145813_c, shouldDropItem
field_145815_h, fallHurtMax
field_145816_i, fallHurtAmount
field_145823_b, activatorRailCooldown
field_145824_a, commandBlockLogic
field_145846_f, tileEntityInvalid
field_145847_g, blockMetadata
field_145850_b, world
field_145852_a, LOGGER
field_145854_h, blockType
field_145858_a, record
field_145870_n, lastProgress
field_145872_l, shouldHeadBeRendered
field_145873_m, progress
field_145875_k, extending
field_145879_a, note
field_145880_i, previousRedstoneState
field_145882_a, spawnerLogic
field_145900_a, inventory
field_145901_j, transferCooldown
field_145908_a, skullType
field_145910_i, skullRotation
field_145915_a, signText
field_145916_j, isEditable
field_145917_k, player
field_145918_i, lineBeingEdited
field_145922_s, customName
field_145923_r, rand
field_145924_q, tRot
field_145925_p, bookRotationPrev
field_145926_a, tickCount
field_145927_n, bookSpreadPrev
field_145928_o, bookRotation
field_145929_l, flipA
field_145930_m, bookSpread
field_145931_j, pageFlipPrev
field_145932_k, flipT
field_145933_i, pageFlip
field_145941_a, SLOTS_FOR_UP
field_145942_n, customName
field_145943_l, filledSlots
field_145944_m, ingredientID
field_145945_j, brewingItemStacks
field_145946_k, brewTime
field_145947_i, OUTPUT_SLOTS
field_145956_a, furnaceBurnTime
field_145957_n, furnaceItemStacks
field_145958_o, furnaceCustomName
field_145959_l, SLOTS_BOTTOM
field_145960_m, SLOTS_SIDES
field_145962_k, SLOTS_TOP
field_145963_i, currentItemBurnTime
field_145967_a, flowerPotItem
field_145968_i, flowerPotData
field_145972_a, lidAngle
field_145973_j, numPlayersUsing
field_145974_k, ticksSinceSync
field_145975_i, prevLidAngle
field_145982_r, cachedChestType
field_145983_q, ticksSinceSync
field_145984_a, adjacentChestChecked
field_145985_p, chestContents
field_145986_n, prevLidAngle
field_145987_o, numPlayersUsing
field_145988_l, adjacentChestZPos
field_145989_m, lidAngle
field_145990_j, adjacentChestXPos
field_145991_k, adjacentChestXNeg
field_145992_i, adjacentChestZNeg
field_145994_a, commandBlockLogic
field_145997_a, outputSignal
field_146008_p, customName
field_146009_a, EFFECTS_LIST
field_146010_n, secondaryEffect
field_146011_o, payment
field_146012_l, levels
field_146013_m, primaryEffect
field_146014_j, beamRenderScale
field_146015_k, isComplete
field_146016_i, beamRenderCounter
field_146022_i, stacks
field_146032_b, partName
field_146038_az, ticksCatchableDelay
field_146040_ay, ticksCaughtDelay
field_146042_b, angler
field_146043_c, caughtEntity
field_146045_ax, ticksCatchable
field_146047_aw, ticksInAir
field_146049_av, ticksInGround
field_146051_au, inGround
field_146054_aA, fishApproachAngle
field_146073_bw, zombieHeight
field_146074_bv, zombieWidth
field_146075_bs, breakDoor
field_146076_bu, isBreakDoorsTaskSet
field_146084_br, playerInLove
field_146087_bs, entityAIEatGrass
field_146106_i, gameProfile
field_146108_bO, statWriter
field_146109_a, mc
field_146120_f, width
field_146121_g, height
field_146122_a, BUTTON_TEXTURES
field_146123_n, hovered
field_146124_l, enabled
field_146125_m, visible
field_146126_j, displayString
field_146127_k, id
field_146128_h, x
field_146129_i, y
field_146131_s, maxValue
field_146132_r, minValue
field_146133_q, options
field_146134_p, sliderValue
field_146135_o, dragging
field_146137_o, enumOptions
field_146142_r, selected
field_146143_q, iconY
field_146144_p, iconX
field_146145_o, iconTexture
field_146148_q, tier
field_146151_o, isForward
field_146152_s, categoryName
field_146155_p, pressed
field_146156_o, volume
field_146157_o, forward
field_146161_f, height
field_146162_g, x
field_146163_s, border
field_146164_r, fontRenderer
field_146165_q, brColor
field_146166_p, ulColor
field_146167_a, width
field_146168_n, textColor
field_146169_o, backColor
field_146170_l, centered
field_146171_m, labelBgEnabled
field_146172_j, visible
field_146173_k, labels
field_146174_h, y
field_146209_f, x
field_146210_g, y
field_146211_a, fontRenderer
field_146212_n, canLoseFocus
field_146213_o, isFocused
field_146214_l, cursorCounter
field_146215_m, enableBackgroundDrawing
field_146216_j, text
field_146217_k, maxStringLength
field_146218_h, width
field_146219_i, height
field_146220_v, visible
field_146221_u, disabledColor
field_146222_t, enabledColor
field_146223_s, selectionEnd
field_146224_r, cursorPosition
field_146225_q, lineScrollOffset
field_146226_p, isEnabled
field_146247_f, mc
field_146248_g, sentMessages
field_146249_a, LOGGER
field_146250_j, scrollPos
field_146251_k, isScrolled
field_146252_h, chatLines
field_146253_i, drawnChatLines
field_146287_f, eventButton
field_146288_g, lastMouseEvent
field_146289_q, fontRenderer
field_146290_a, selectedButton
field_146291_p, allowUserInput
field_146292_n, buttonList
field_146293_o, labelList
field_146294_l, width
field_146295_m, height
field_146296_j, itemRender
field_146297_k, mc
field_146298_h, touchValue
field_146301_f, serverData
field_146302_g, ipEdit
field_146303_a, lastScreen
field_146304_f, message
field_146305_g, multilineMessage
field_146306_a, reason
field_146307_h, parentScreen
field_146308_f, serverIPField
field_146309_g, serverNameField
field_146310_a, parentScreen
field_146311_h, serverData
field_146312_f, message
field_146313_a, title
field_146320_D, btnMapType
field_146321_E, btnAllowCommands
field_146322_F, btnCustomizeType
field_146323_G, gameModeDesc1
field_146324_A, btnMoreOptions
field_146325_B, btnMapFeatures
field_146326_C, btnBonusItems
field_146327_L, DISALLOWED_FILENAMES
field_146328_H, gameModeDesc2
field_146329_I, worldSeed
field_146330_J, worldName
field_146331_K, selectedIndex
field_146332_f, parentScreen
field_146333_g, worldNameField
field_146334_a, chunkProviderSettingsJson
field_146335_h, worldSeedField
field_146336_i, saveDirName
field_146337_w, hardCoreMode
field_146338_v, bonusChestEnabled
field_146339_u, allowCheatsWasSetByUser
field_146340_t, allowCheats
field_146341_s, generateStructuresEnabled
field_146342_r, gameMode
field_146343_z, btnGameMode
field_146344_y, inMoreWorldOptionsDisplay
field_146345_x, alreadyGenerated
field_146347_a, enableButtonsTimer
field_146348_f, DEMO_BACKGROUND_LOCATION
field_146349_a, LOGGER
field_146351_f, messageLine1
field_146352_g, confirmButtonText
field_146353_s, ticksUntilEnable
field_146354_r, messageLine2
field_146355_a, parentScreen
field_146356_h, cancelButtonText
field_146357_i, parentButtonClickedId
field_146360_u, showSecurityWarning
field_146361_t, linkText
field_146362_s, copyLinkButtonText
field_146363_r, openLinkWarning
field_146370_f, LOGGER
field_146371_g, networkManager
field_146372_a, CONNECTION_ID
field_146373_h, cancel
field_146374_i, previousGuiScreen
field_146385_f, createWorldGui
field_146386_v, removeLayerButton
field_146387_g, generatorInfo
field_146388_u, editLayerButton
field_146389_t, addLayerButton
field_146390_s, createFlatWorldListSlotGui
field_146391_r, heightText
field_146393_h, flatWorldTitle
field_146394_i, materialText
field_146396_g, parentScreen
field_146399_a, CHAT_OPTIONS
field_146400_h, game_settings
field_146401_i, chatTitle
field_146408_f, LOGGER
field_146409_v, defaultInputFieldText
field_146410_g, historyBuffer
field_146415_a, inputField
field_146416_h, sentHistoryCursor
field_146431_f, FLAT_WORLD_PRESETS
field_146432_g, parentScreen
field_146433_u, export
field_146434_t, btnSelect
field_146435_s, list
field_146436_r, listText
field_146438_h, presetsTitle
field_146439_i, presetsShare
field_146440_f, SCREEN_OPTIONS
field_146441_g, lastScreen
field_146442_a, title
field_146443_h, settings
field_146444_f, visibleTime
field_146445_a, saveStep
field_146450_f, list
field_146451_g, game_settings_3
field_146452_r, confirmSettingsBtn
field_146453_a, parentScreen
field_146454_h, languageManager
field_146455_i, forceUnicodeFontBtn
field_146465_D, buttonSign
field_146466_f, BOOK_GUI_TEXTURES
field_146467_E, buttonFinalize
field_146468_g, editingPlayer
field_146469_F, buttonCancel
field_146470_A, buttonNextPage
field_146471_B, buttonPreviousPage
field_146472_C, buttonDone
field_146473_a, LOGGER
field_146474_h, book
field_146475_i, bookIsUnsigned
field_146476_w, bookTotalPages
field_146477_v, bookImageHeight
field_146478_u, bookImageWidth
field_146479_t, updateCount
field_146480_s, bookGettingSigned
field_146481_r, bookIsModified
field_146482_z, bookTitle
field_146483_y, bookPages
field_146484_x, currPage
field_146485_f, commandTextField
field_146486_g, previousOutputTextField
field_146487_r, cancelBtn
field_146490_i, doneBtn
field_146491_f, buttonId
field_146492_g, OPTIONS_ARR
field_146493_s, buttonReset
field_146494_r, keyBindingList
field_146495_a, screenTitle
field_146496_h, parentScreen
field_146497_i, options
field_146498_f, parentGuiScreen
field_146499_g, guiGameSettings
field_146500_a, screenTitle
field_146501_h, optionsRowList
field_146502_i, VIDEO_OPTIONS
field_146505_f, parent
field_146506_g, game_settings_4
field_146507_a, title
field_146508_h, offDisplayString
field_146510_b_, LOADING_STRINGS
field_146542_f, screenTitle
field_146543_v, doesGuiPauseGame
field_146545_u, displaySlot
field_146546_t, stats
field_146547_s, mobStats
field_146548_r, blockStats
field_146549_a, parentScreen
field_146550_h, generalStats
field_146551_i, itemStats
field_146576_f, MINECRAFT_LOGO
field_146577_g, VIGNETTE_TEXTURE
field_146578_s, scrollSpeed
field_146579_r, totalScrollLength
field_146580_a, LOGGER
field_146581_h, time
field_146582_i, lines
field_146587_f, scaledResolution
field_146588_g, framebuffer
field_146589_f, stage
field_146590_g, progress
field_146591_a, title
field_146592_h, doneWorking
field_146593_f, progress
field_146594_a, connection
field_146596_f, allowCheatsButton
field_146597_g, gameModeButton
field_146598_a, lastScreen
field_146599_h, gameMode
field_146600_i, allowCheats
field_146603_f, game_settings_2
field_146604_g, keys
field_146605_t, toggleButton
field_146606_s, list
field_146607_r, desc
field_146608_a, lastScreen
field_146609_h, values
field_146610_i, title
field_146630_A, renameButton
field_146641_z, selectButton
field_146642_y, deleteButton
field_146797_f, oldServerPinger
field_146798_g, parentScreen
field_146799_A, lanServerList
field_146800_B, lanServerDetector
field_146801_C, initialized
field_146802_a, LOGGER
field_146803_h, serverListSelector
field_146804_i, savedServerList
field_146805_w, editingServer
field_146806_v, addingServer
field_146807_u, deletingServer
field_146808_t, btnDeleteServer
field_146809_s, btnSelectServer
field_146810_r, btnEditServer
field_146811_z, selectedServer
field_146812_y, hoveringText
field_146813_x, directConnect
field_146848_f, tileSign
field_146849_g, updateCounter
field_146851_h, editLine
field_146852_i, doneBtn
field_146965_f, parentScreen
field_146966_g, availableResourcePacks
field_146967_r, selectedResourcePacksList
field_146969_h, selectedResourcePacks
field_146970_i, availableResourcePacksList
field_146972_A, openGLWarning2
field_146974_g, LOGGER
field_146985_D, currentDragTargetSlot
field_146986_E, dragItemDropDelay
field_146987_F, dragSplittingLimit
field_146988_G, dragSplittingButton
field_146989_A, returningStackDestSlot
field_146990_B, returningStackTime
field_146991_C, returningStack
field_146992_L, lastClickButton
field_146993_M, doubleClick
field_146994_N, shiftClickedSlot
field_146995_H, ignoreMouseUp
field_146996_I, dragSplittingRemnant
field_146997_J, lastClickTime
field_146998_K, lastClickSlot
field_146999_f, xSize
field_147000_g, ySize
field_147001_a, INVENTORY_BACKGROUND
field_147002_h, inventorySlots
field_147003_i, guiLeft
field_147004_w, isRightMouseClick
field_147005_v, clickedSlot
field_147006_u, hoveredSlot
field_147007_t, dragSplitting
field_147008_s, dragSplittingSlots
field_147009_r, guiTop
field_147010_z, touchUpY
field_147011_y, touchUpX
field_147012_x, draggedStack
field_147013_v, tileBrewingStand
field_147014_u, BREWING_STAND_GUI_TEXTURES
field_147015_w, lowerChestInventory
field_147016_v, upperChestInventory
field_147017_u, CHEST_GUI_TEXTURE
field_147018_x, inventoryRows
field_147019_u, CRAFTING_TABLE_GUI_TEXTURES
field_147024_w, tileBeacon
field_147025_v, BEACON_GUI_TEXTURES
field_147026_u, LOGGER
field_147027_y, buttonsNotDrawn
field_147028_x, beaconConfirmButton
field_147029_w, horseInventory
field_147030_v, playerInventory
field_147031_u, HORSE_GUI_TEXTURES
field_147032_z, mousePosY
field_147033_y, mousePosx
field_147034_x, horseEntity
field_147037_w, merchant
field_147038_v, MERCHANT_GUI_TEXTURE
field_147039_u, LOGGER
field_147040_A, chatComponent
field_147041_z, selectedMerchantRecipe
field_147042_y, previousButton
field_147043_x, nextButton
field_147045_u, hasActivePotionEffects
field_147047_v, oldMouseY
field_147048_u, oldMouseX
field_147057_D, clearSearch
field_147058_w, selectedTabIndex
field_147059_E, listener
field_147060_v, basicInventory
field_147061_u, CREATIVE_INVENTORY_TABS
field_147062_A, searchField
field_147063_B, originalSlots
field_147064_C, destroyItemSlot
field_147065_z, wasClicking
field_147066_y, isScrolling
field_147067_x, currentScroll
field_147069_w, oFlip
field_147070_D, ENCHANTMENT_TABLE_BOOK_TEXTURE
field_147071_v, flip
field_147072_E, MODEL_BOOK
field_147073_u, ticks
field_147074_F, random
field_147075_G, container
field_147076_A, oOpen
field_147077_B, last
field_147078_C, ENCHANTMENT_TABLE_GUI_TEXTURE
field_147080_z, open
field_147081_y, flipA
field_147082_x, flipT
field_147083_w, hopperInventory
field_147084_v, playerInventory
field_147085_u, HOPPER_GUI_TEXTURE
field_147086_v, tileFurnace
field_147087_u, FURNACE_GUI_TEXTURES
field_147088_v, DISPENSER_GUI_TEXTURES
field_147091_w, nameField
field_147092_v, anvil
field_147093_u, ANVIL_RESOURCE
field_147094_x, playerInventory
field_147101_bU, respawnInvulnerabilityTicks
field_147102_bM, LOGGER
field_147103_bO, statsFile
field_147123_G, LOGGER
field_147124_at, framebuffer
field_147125_j, pointedEntity
field_147126_aw, musicTicker
field_147127_av, soundHandler
field_147128_au, textureMapBlocks
field_147129_ai, jvm64bit
field_147141_M, resourcePackUrl
field_147142_T, nanoTimeSinceStatusRefresh
field_147143_S, sessionService
field_147144_o, networkSystem
field_147145_h, LOGGER
field_147146_q, random
field_147147_p, statusResponse
field_147148_h, LOGGER
field_147150_a, LOGGER
field_147175_a, LOGGER
field_147206_b, profileStartTime
field_147207_c, profileStartTick
field_147208_a, LOGGER
field_147211_a, IP_PATTERN
field_147228_b, LOGGER
field_147229_c, pingDestinations
field_147230_a, PING_RESPONSE_SPLITTER
field_147299_f, client
field_147300_g, world
field_147301_d, LOGGER
field_147302_e, netManager
field_147304_c, currentServerMaxPlayers
field_147306_l, avRandomizer
field_147307_j, guiScreenServer
field_147308_k, hasStatistics
field_147309_h, doneLoadingTerrain
field_147310_i, playerInfoMap
field_147313_b, networkManager
field_147314_a, server
field_147327_f, server
field_147328_g, currentLoginState
field_147329_d, RANDOM
field_147330_e, verifyToken
field_147331_b, AUTHENTICATOR_THREAD_ID
field_147332_c, LOGGER
field_147333_a, networkManager
field_147334_j, serverId
field_147335_k, secretKey
field_147336_h, connectionTimer
field_147337_i, loginGameProfile
field_147365_f, floatingTickCount
field_147367_d, server
field_147368_e, networkTickCount
field_147369_b, player
field_147370_c, LOGGER
field_147371_a, netManager
field_147372_n, pendingTransactions
field_147374_l, chatSpamThresholdCount
field_147375_m, itemDropThreshold
field_147377_k, lastSentPingPacket
field_147378_h, keepAliveId
field_147379_i, lastPingTime
field_147384_b, networkManager
field_147385_a, server
field_147386_b, networkManager
field_147387_a, server
field_147393_d, networkManager
field_147394_b, mc
field_147395_c, previousGuiScreen
field_147396_a, LOGGER
field_147403_d, successful
field_147411_m, serverIcon
field_147412_i, playerList
field_147415_a, LOGGER
field_147417_b, LOGGER
field_147436_a, LOGGER
field_147481_N, processingLoadedTiles
field_147482_g, loadedTileEntityList
field_147483_b, tileEntitiesToBeRemoved
field_147484_a, addedTileEntityList
field_147489_T, blockEventCacheIndex
field_147490_S, blockEventQueue
